"ITIN_ID","MKT_ID","SEQ_NUM","ORIGIN_CITY_MARKET_ID","ORIGIN","DEST_CITY_MARKET_ID","DEST","TRIP_BREAK","OPERATING_CARRIER","DISTANCE","YEAR","QUARTER","GATEWAY"
200118,2001114,1,30140,"ABQ",30397,"ATL",NA,"AA",1269,2001,1,0
200118,2001114,2,30397,"ATL",31650,"MSP","X","AA",906,2001,1,0
200118,2001115,3,31650,"MSP",31123,"STL",NA,"TW",449,2001,1,0
200118,2001115,4,31123,"STL",30140,"ABQ","X","TW",934,2001,1,0
200119,2001116,1,30140,"ABQ",30397,"ATL",NA,"AA",1269,2001,1,0
200119,2001116,2,30397,"ATL",34492,"RDU","X","AA",356,2001,1,0
200119,2001117,3,34492,"RDU",33105,"CVG",NA,"DL",390,2001,1,0
200119,2001117,4,33105,"CVG",30140,"ABQ","X","DL",1240,2001,1,0
2001110,2001118,1,30140,"ABQ",30529,"BDL","X","AA",1886,2001,1,0
2001110,2001119,2,30529,"BDL",30852,"DCA",NA,"--",313,2001,1,0
2001110,2001119,3,30852,"DCA",30194,"DFW",NA,"AA",1192,2001,1,0
2001110,2001119,4,30194,"DFW",30140,"ABQ","X","AA",569,2001,1,0
2001111,2001120,1,30140,"ABQ",30529,"BDL","X","AA",1886,2001,1,0
2001111,2001121,2,30529,"BDL",30194,"DFW",NA,"AA",1471,2001,1,0
2001111,2001121,3,30194,"DFW",30140,"ABQ","X","AA",569,2001,1,0
2001112,2001122,1,30140,"ABQ",30721,"BOS","X","AA",1974,2001,1,0
2001113,2001123,1,30140,"ABQ",30721,"BOS","X","AA",1974,2001,1,0
2001114,2001124,1,30140,"ABQ",30721,"BOS","X","AA",1974,2001,1,0
2001115,2001125,1,30140,"ABQ",30721,"BOS","X","AA",1974,2001,1,0
2001115,2001126,2,30721,"BOS",30140,"ABQ","X","AA",1974,2001,1,0
2001116,2001127,1,30140,"ABQ",30721,"BOS","X","AA",1974,2001,1,0
2001116,2001128,2,30721,"BOS",30140,"ABQ","X","AA",1974,2001,1,0
2001117,2001129,1,30140,"ABQ",30721,"BOS","X","AA",1974,2001,1,0
2001117,2001130,2,30721,"BOS",30140,"ABQ","X","AA",1974,2001,1,0
2001118,2001131,1,30140,"ABQ",30721,"BOS","X","AA",1974,2001,1,0
2001118,2001132,2,30721,"BOS",30140,"ABQ","X","AA",1974,2001,1,0
2001119,2001133,1,30140,"ABQ",30721,"BOS","X","AA",1974,2001,1,0
