Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,V110
2011,1,1,14,5,2011-01-14,WN,19393,WN,N483WN,888,11884,1188401,31884,GEG,"Spokane, WA",WA,53,Washington,93,14057,1405701,34057,PDX,"Portland, OR",OR,41,Oregon,92,1150,1148,-2,0,0,-1,1100-1159,17,1205,1302,4,1255,1306,11,11,0,0,1200-1259,0,"",0,65,78,57,1,279,2,,,,,,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,24,1,2011-01-24,MQ,20398,MQ,N0EGMQ,3748,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,13487,1348701,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,600,645,45,45,1,3,0600-0659,66,751,904,4,725,908,103,103,1,6,0700-0759,0,"",0,85,143,73,1,334,2,45,0,58,0,0,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,3,1,2011-01-03,FL,20437,FL,N174AT,309,10397,1039703,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,2220,2217,-3,0,0,-1,2200-2259,12,2229,2333,10,2355,2343,-12,0,0,-1,2300-2359,0,"",0,215,206,184,1,1199,5,,,,,,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,11,2,2011-01-11,US,20355,US,N817AW,281,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,14831,1483102,32457,SJC,"San Jose, CA",CA,6,California,91,1435,1434,-1,0,0,-1,1400-1459,12,1446,1523,4,1530,1527,-3,0,0,-1,1500-1559,0,"",0,115,113,97,1,622,3,,,,,,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,28,5,2011-01-28,MQ,20398,MQ,N9EAMQ,3736,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,600,601,1,1,0,0,0600-0659,16,617,851,8,900,859,-1,0,0,-1,0900-0959,0,"",0,120,118,94,1,719,3,,,,,,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,16,7,2011-01-16,WN,19393,WN,N403WN,659,14492,1449201,34492,RDU,"Raleigh/Durham, NC",NC,37,North Carolina,36,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,905,904,-1,0,0,-1,0900-0959,6,910,1041,5,1120,1046,-34,0,0,-2,1100-1159,0,"",0,255,222,211,1,1437,6,,,,,,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,12,3,2011-01-12,CO,19704,CO,N21723,1686,14908,1490802,32575,SNA,"Santa Ana, CA",CA,6,California,91,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,2125,2126,1,1,0,0,2100-2159,17,2143,535,7,511,542,31,31,1,2,0001-0559,0,"",0,286,316,292,1,2433,10,0,0,31,0,0,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,16,7,2011-01-16,WN,19393,WN,N234WN,2644,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,14747,1474702,30559,SEA,"Seattle, WA",WA,53,Washington,93,1500,1552,52,52,1,3,1500-1559,6,1558,1757,5,1705,1802,57,57,1,3,1700-1759,0,"",0,185,190,179,1,1107,5,49,0,5,0,3,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,16,7,2011-01-16,EV,20366,EV,N719EV,5082,10397,1039703,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,13360,1336002,33360,MLB,"Melbourne, FL",FL,12,Florida,33,1614,1631,17,17,1,1,1600-1659,29,1700,1803,3,1742,1806,24,24,1,1,1700-1759,0,"",0,88,95,63,1,443,2,17,0,7,0,0,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1,23,7,2011-01-23,DL,19790,DL,N906DL,1952,14307,1430701,30721,PVD,"Providence, RI",RI,44,Rhode Island,15,10397,1039703,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1251,1247,-4,0,0,-1,1200-1259,13,1300,1532,12,1545,1544,-1,0,0,-1,1500-1559,0,"",0,174,177,152,1,903,4,,,,,,,,,0,,,,,"",,,,,,,"","",,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,
